Result for strategy BBMod
============================================================ BACKTESTING REPORT ============================================================
|          Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|          Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|---------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|     GARI/USDT |     11 |           2.70 |          29.72 |           118.283 |          11.83 |        0:55:00 |    11     0     0   100 |
|     POKT/USDT |      4 |           4.73 |          18.92 |            62.404 |           6.24 |        0:45:00 |     4     0     0   100 |
|    KISHU/USDT |      2 |           6.49 |          12.98 |            57.080 |           5.71 |        3:52:00 |     2     0     0   100 |
|     CRPT/USDT |      9 |           0.95 |           8.51 |            37.941 |           3.79 |        1:32:00 |     6     0     3  66.7 |
|     MTRG/USDT |      3 |           3.32 |           9.97 |            36.186 |           3.62 |        0:10:00 |     3     0     0   100 |
|      YAM/USDT |      3 |           2.88 |           8.64 |            33.897 |           3.39 |        0:53:00 |     3     0     0   100 |
|      VRA/USDT |      1 |           7.44 |           7.44 |            26.731 |           2.67 |        2:35:00 |     1     0     0   100 |
|    LOOKS/USDT |      3 |           1.90 |           5.71 |            22.121 |           2.21 |        2:22:00 |     3     0     0   100 |
|     RMRK/USDT |      2 |           2.82 |           5.63 |            21.363 |           2.14 |        0:32:00 |     2     0     0   100 |
|      OPA/USDT |      2 |           2.81 |           5.62 |            20.593 |           2.06 |        2:12:00 |     2     0     0   100 |
|      HAI/USDT |      2 |           2.61 |           5.21 |            19.584 |           1.96 |        1:12:00 |     2     0     0   100 |
|      SPA/USDT |      2 |           2.37 |           4.75 |            18.753 |           1.88 |        1:02:00 |     2     0     0   100 |
|     HERO/USDT |      2 |           2.01 |           4.02 |            17.165 |           1.72 |        0:28:00 |     2     0     0   100 |
|    SQUID/USDT |      1 |           4.67 |           4.67 |            15.765 |           1.58 |        0:20:00 |     1     0     0   100 |
|     IDEA/USDT |      3 |           1.55 |           4.65 |            15.613 |           1.56 |        2:10:00 |     2     0     1  66.7 |
