Result for strategy E0V1E320
=============================================================== BACKTESTING REPORT ===============================================================
|            Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|        FUN/USDT |         6 |           0.66 |           3.96 |          1600.041 |         160.00 |         0:59:00 |     3     0     3  50.0 |
|       BONK/USDT |        14 |           2.22 |          31.10 |          1530.037 |         153.00 |         1:08:00 |    11     0     3  78.6 |
|       COTI/USDT |         1 |           5.56 |           5.56 |          1359.459 |         135.95 |         0:25:00 |     1     0     0   100 |
|        ENS/USDT |         1 |           3.79 |           3.79 |          1342.120 |         134.21 |         0:20:00 |     1     0     0   100 |
|       PROM/USDT |        10 |          -1.52 |         -15.23 |          1230.411 |         123.04 |         5:56:00 |     5     0     5  50.0 |
|        LTO/USDT |        10 |           1.84 |          18.43 |          1210.873 |         121.09 |         0:59:00 |     8     0     2  80.0 |
|         ID/USDT |         1 |           0.84 |           0.84 |          1171.848 |         117.18 |         0:45:00 |     1     0     0   100 |
|       FIRO/USDT |        11 |           1.06 |          11.65 |          1096.508 |         109.65 |         3:16:00 |     7     0     4  63.6 |
|       COMP/USDT |         2 |           1.24 |           2.47 |          1093.385 |         109.34 |         2:28:00 |     1     0     1  50.0 |
|      JASMY/USDT |         5 |           1.59 |           7.94 |          1075.352 |         107.54 |         0:55:00 |     4     0     1  80.0 |
|        DIA/USDT |         4 |           3.25 |          13.01 |          1073.366 |         107.34 |         0:41:00 |     4     0     0   100 |
|        ONE/USDT |         2 |           1.93 |           3.85 |          1071.340 |         107.13 |         1:08:00 |     2     0     0   100 |
|         AI/USDT |         1 |           3.10 |           3.10 |          1056.120 |         105.61 |         0:40:00 |     1     0     0   100 |
|    AUCTION/USDT |         3 |           1.60 |           4.81 |          1051.534 |         105.15 |         0:30:00 |     3     0     0   100 |
|       CATI/USDT |         4 |           1.65 |           6.60 |          1043.737 |         104.37 |         0:32:00 |     3     0     1  75.0 |
|        OXT/USDT |         2 |           1.37 |           2.75 |          1028.844 |         102.88 |         5:12:00 |     1     0     1  50.0 |
|       HBAR/USDT |         5 |          -3.47 |         -17.36 |           988.890 |          98.89 |         3:21:00 |     3     0     2  60.0 |
|          T/USDT |         3 |           2.47 |           7.42 |           924.436 |          92.44 |         2:08:00 |     3     0     0   100 |
|       DOGE/USDT |         4 |           2.83 |          11.34 |           912.928 |          91.29 |         0:36:00 |     4     0     0   100 |
|        QKC/USDT |         7 |          -0.92 |          -6.42 |           852.279 |          85.23 |         4:57:00 |     3     0     4  42.9 |
|       DEXE/USDT |         5 |           0.53 |           2.67 |           843.606 |          84.36 |         1:07:00 |     4     0     1  80.0 |
|       DODO/USDT |         4 |           0.15 |           0.59 |           795.882 |          79.59 |         0:26:00 |     3     0     1  75.0 |
|       GLMR/USDT |         1 |           4.19 |           4.19 |           792.488 |          79.25 |         0:55:00 |     1     0     0   100 |
|        ASR/USDT |        12 |           3.52 |          42.30 |           739.254 |          73.93 |         0:43:00 |    10     0     2  83.3 |
|      AUDIO/USDT |         9 |           2.39 |          21.47 |           603.596 |          60.36 |         0:36:00 |     7     0     2  77.8 |
|       NULS/USDT |        15 |           2.44 |          36.66 |           590.809 |          59.08 |         0:45:00 |    12     0     3  80.0 |
|       SAND/USDT |         4 |           0.47 |           1.90 |           589.630 |          58.96 |         1:01:00 |     2     0     2  50.0 |
|      CHESS/USDT |         5 |           1.32 |           6.60 |           587.730 |          58.77 |         0:34:00 |     4     0     1  80.0 |
|        LRC/USDT |         2 |           1.44 |           2.88 |           553.995 |          55.40 |         0:12:00 |     1     0     1  50.0 |
|     SANTOS/USDT |         4 |           1.34 |           5.35 |           543.842 |          54.38 |         3:00:00 |     2     0     2  50.0 |
