Result for strategy E0V1E
=============================================================== BACKTESTING REPORT ===============================================================
|          Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |      Avg Duration |   Win  Draw  Loss  Win% |
|    POLYX/USDT |         2 |           1.56 |           3.12 |            21.227 |           2.12 |           0:18:00 |     2     0     0   100 |
|     DENT/USDT |         1 |           2.28 |           2.28 |            20.969 |           2.10 |           0:25:00 |     1     0     0   100 |
|    AUDIO/USDT |         3 |           0.34 |           1.02 |            20.047 |           2.00 |           2:08:00 |     2     0     1  66.7 |
|      SNX/USDT |         1 |           0.53 |           0.53 |            19.514 |           1.95 |          19:55:00 |     1     0     0   100 |
|      LTO/USDT |         3 |           0.25 |           0.76 |            19.325 |           1.93 |           1:28:00 |     2     0     1  66.7 |
|      YGG/USDT |         5 |           0.06 |           0.29 |            16.442 |           1.64 |           1:50:00 |     4     0     1  80.0 |
|    FRONT/USDT |         5 |           0.64 |           3.19 |            15.024 |           1.50 |          21:13:00 |     4     0     1  80.0 |
|    WAVES/USDT |         2 |           0.56 |           1.12 |            12.084 |           1.21 |           1:00:00 |     1     0     1  50.0 |
|      APT/USDT |         1 |           2.17 |           2.17 |            11.057 |           1.11 |           0:30:00 |     1     0     0   100 |
|     SCRT/USDT |         2 |           0.90 |           1.79 |            10.826 |           1.08 |           1:18:00 |     2     0     0   100 |
|        T/USDT |         6 |          -0.01 |          -0.07 |             7.987 |           0.80 |           1:42:00 |     3     0     3  50.0 |
|      NKN/USDT |         2 |           0.27 |           0.54 |             7.903 |           0.79 |           1:08:00 |     1     0     1  50.0 |
|     HIVE/USDT |         1 |           0.65 |           0.65 |             6.761 |           0.68 |           0:15:00 |     1     0     0   100 |
|      ATA/USDT |         1 |           1.29 |           1.29 |             6.566 |           0.66 |           0:25:00 |     1     0     0   100 |
|    OCEAN/USDT |         1 |           1.09 |           1.09 |             5.593 |           0.56 |           0:25:00 |     1     0     0   100 |
|     GALA/USDT |         1 |           0.30 |           0.30 |             3.401 |           0.34 |           0:05:00 |     1     0     0   100 |
|      REN/USDT |         3 |          -0.38 |          -1.14 |             2.616 |           0.26 |           8:35:00 |     2     0     1  66.7 |
|    SPELL/USDT |         1 |           0.48 |           0.48 |             2.541 |           0.25 |           2:55:00 |     1     0     0   100 |
|      KEY/USDT |         2 |          -0.13 |          -0.26 |             0.862 |           0.09 |           1:25:00 |     1     0     1  50.0 |
|     ANKR/USDT |         3 |           0.67 |           2.00 |             0.747 |           0.07 |           2:48:00 |     2     0     1  66.7 |
|      DAR/USDT |         1 |           0.04 |           0.04 |             0.360 |           0.04 |           0:40:00 |     1     0     0   100 |
|     KLAY/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|     EGLD/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      WOO/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|     NEXO/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      EDU/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      MTL/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      CRV/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      CTK/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|     AAVE/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      BAL/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|    MATIC/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|     REEF/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      KSM/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      PLA/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      CHR/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      ONT/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|   ALPACA/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|   PENDLE/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      IMX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      RSR/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|     FLOW/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|    ALPHA/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      LDO/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      CVC/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      GMX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|     CELR/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|     DYDX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|     AGIX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|       OP/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|      ZRX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
|       AR/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |     0     0     0     0 |
