Result for strategy E0V1E
=============================================================== BACKTESTING REPORT ==============================================================
|          Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|      VGX/USDT |         1 |          -3.50 |          -3.50 |           -38.571 |          -3.86 |          4:00:00 |     0     0     1     0 |
|     UNFI/USDT |         2 |          -0.91 |          -1.82 |           -43.537 |          -4.35 |          2:50:00 |     1     0     1  50.0 |
|      XVS/USDT |         2 |          -0.65 |          -1.30 |           -46.470 |          -4.65 |          1:10:00 |     1     0     1  50.0 |
|      AMB/USDT |         1 |          -3.71 |          -3.71 |           -47.620 |          -4.76 |         12:05:00 |     0     0     1     0 |
|      WIN/USDT |         3 |          -1.10 |          -3.29 |           -60.653 |          -6.07 |          2:07:00 |     1     0     2  33.3 |
|  AUCTION/USDT |         5 |           1.51 |           7.57 |           -72.575 |          -7.26 |          6:22:00 |     4     0     1  80.0 |
|      WLD/USDT |         2 |          -0.80 |          -1.61 |           -74.887 |          -7.49 |          2:50:00 |     1     0     1  50.0 |
|     PROS/USDT |         3 |          -1.57 |          -4.72 |          -100.350 |         -10.03 |         10:02:00 |     1     0     2  33.3 |
|     HIFI/USDT |         7 |          -2.67 |         -18.71 |          -102.118 |         -10.21 |         10:39:00 |     4     0     3  57.1 |
|      ICP/USDT |         2 |          -1.13 |          -2.26 |          -106.717 |         -10.67 |   1 day, 4:30:00 |     0     0     2     0 |
|     TROY/USDT |         6 |          -2.74 |         -16.46 |          -107.269 |         -10.73 |          1:42:00 |     5     0     1  83.3 |
|      OMG/USDT |         2 |          -1.43 |          -2.85 |          -137.171 |         -13.72 |          7:22:00 |     1     0     1  50.0 |
|     MINA/USDT |         2 |         -10.88 |         -21.76 |          -449.447 |         -44.94 |   1 day, 7:30:00 |     1     0     1  50.0 |
|      BNT/USDT |         2 |         -13.69 |         -27.38 |          -720.981 |         -72.10 |          1:48:00 |     0     0     2     0 |
|         TOTAL |       355 |           1.54 |         545.28 |         12819.656 |        1281.97 |          4:01:00 |   292     0    63  82.3 |
======================================================= LEFT OPEN TRADES REPORT ========================================================
|   Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|--------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|  TOTAL |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
=========================================================== ENTER TAG STATS ===========================================================
|   TAG |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| buy_1 |       355 |           1.54 |         545.28 |         12819.656 |        1281.97 |        4:01:00 |   292     0    63  82.3 |
| TOTAL |       355 |           1.54 |         545.28 |         12819.656 |        1281.97 |        4:01:00 |   292     0    63  82.3 |
======================================================= EXIT REASON STATS =======================================================
|       Exit Reason |   Exits |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|-------------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
| fastk_profit_sell |     268 |    268     0     0   100 |           2.57 |         688.56 |         15765.2   |         344.28 |
|     cci_loss_sell |      38 |      0     0    38     0 |          -2.56 |         -97.45 |         -2468.49  |         -48.73 |
|   cci_profit_sell |      24 |     24     0     0   100 |           4.38 |         105.1  |          1881.59  |          52.55 |
|          cci_sell |      20 |      0     0    20     0 |          -0.76 |         -15.22 |          -332.725 |          -7.61 |
|         stop_loss |       5 |      0     0     5     0 |         -27.14 |        -135.7  |         -2025.94  |         -67.85 |
================== SUMMARY METRICS ==================
| Metric                      | Value               |
|-----------------------------+---------------------|
| Backtesting from            | 2023-06-22 00:00:00 |
| Backtesting to              | 2023-12-28 14:35:00 |
| Max open trades             | 2                   |
|                             |                     |
| Total/Daily Avg Trades      | 355 / 1.88          |
| Starting balance            | 1000 USDT           |
| Final balance               | 13819.656 USDT      |
| Absolute profit             | 12819.656 USDT      |
| Total profit %              | 1281.97%            |
