Result for strategy BinHV27_short
============================================================ BACKTESTING REPORT ============================================================
|          Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|     IOTX/USDT |      4 |          -4.92 |         -19.69 |          -183.142 |         -18.31 |        5:46:00 |     1     0     3  25.0 |
|     ANKR/USDT |      2 |           0.16 |           0.32 |          -189.504 |         -18.95 |        6:15:00 |     1     0     1  50.0 |
|     DENT/USDT |      4 |           0.50 |           1.99 |          -190.092 |         -19.01 |        5:24:00 |     2     0     2  50.0 |
|      BTS/USDT |      2 |         -11.89 |         -23.77 |          -195.667 |         -19.57 |       11:55:00 |     0     0     2     0 |
|      MKR/USDT |      5 |          -4.51 |         -22.54 |          -211.889 |         -21.19 |        5:52:00 |     3     0     2  60.0 |
|     EGLD/USDT |      5 |          -4.51 |         -22.56 |          -217.278 |         -21.73 |        4:54:00 |     2     0     3  40.0 |
|      UNI/USDT |      7 |          -1.38 |          -9.63 |          -220.214 |         -22.02 |        6:45:00 |     2     0     5  28.6 |
|      ADA/USDT |     11 |          -1.37 |         -15.06 |          -241.997 |         -24.20 |        8:33:00 |     4     0     7  36.4 |
|      BAT/USDT |      4 |          -1.21 |          -4.84 |          -245.836 |         -24.58 |        7:54:00 |     2     0     2  50.0 |
|      LTC/USDT |      2 |          -2.79 |          -5.58 |          -246.416 |         -24.64 |       19:02:00 |     1     0     1  50.0 |
|     DODO/USDT |      7 |          -2.27 |         -15.92 |          -248.581 |         -24.86 |        3:14:00 |     2     0     5  28.6 |
|      ICX/USDT |      3 |          -3.51 |         -10.53 |          -291.935 |         -29.19 |        4:48:00 |     0     0     3     0 |
|      AXS/USDT |     11 |          -0.31 |          -3.39 |          -299.897 |         -29.99 |        4:32:00 |     6     0     5  54.5 |
|     LINK/USDT |      9 |           0.53 |           4.75 |          -347.163 |         -34.72 |        5:02:00 |     5     0     4  55.6 |
|      TLM/USDT |      2 |          -5.54 |         -11.08 |          -362.733 |         -36.27 |        4:45:00 |     0     0     2     0 |
|      RLC/USDT |      3 |          -2.47 |          -7.40 |          -380.935 |         -38.09 |        7:47:00 |     1     0     2  33.3 |
|      SFP/USDT |      6 |          -1.43 |          -8.60 |          -402.318 |         -40.23 |        6:00:00 |     4     0     2  66.7 |
|      FLM/USDT |      3 |          -2.78 |          -8.33 |          -406.575 |         -40.66 |        5:25:00 |     1     0     2  33.3 |
|      BCH/USDT |     11 |          -1.83 |         -20.17 |          -429.281 |         -42.93 |        6:00:00 |     3     0     8  27.3 |
|     DASH/USDT |      8 |          -2.25 |         -18.03 |          -504.120 |         -50.41 |        3:29:00 |     1     0     7  12.5 |
|      BAL/USDT |      7 |          -1.33 |          -9.34 |          -521.602 |         -52.16 |        8:03:00 |     4     0     3  57.1 |
|      GRT/USDT |      8 |          -3.66 |         -29.32 |          -526.339 |         -52.63 |        5:23:00 |     1     0     7  12.5 |
|     NEAR/USDT |     14 |          -0.24 |          -3.42 |          -579.261 |         -57.93 |        6:00:00 |     6     0     8  42.9 |
|      KSM/USDT |      9 |          -3.76 |         -33.80 |          -627.094 |         -62.71 |        7:44:00 |     3     0     6  33.3 |
|      EOS/USDT |     10 |          -3.70 |         -36.96 |         -1405.640 |        -140.56 |        7:25:00 |     3     0     7  30.0 |
|      KNC/USDT |     24 |           0.03 |           0.76 |         -1459.022 |        -145.90 |        4:40:00 |    14     0    10  58.3 |
|    AUDIO/USDT |      6 |          -4.47 |         -26.81 |         -1715.682 |        -171.57 |        6:47:00 |     2     0     4  33.3 |
|         TOTAL |    701 |           1.23 |         861.07 |         10631.661 |        1063.17 |        4:48:00 |   401     0   300  57.2 |
========================================================= ENTER TAG STATS ==========================================================
|   TAG |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| buy_3 |    375 |           1.28 |         478.60 |          4772.464 |         477.25 |        4:40:00 |   219     0   156  58.4 |
| buy_2 |    247 |           0.77 |         190.51 |          3057.688 |         305.77 |        5:09:00 |   128     0   119  51.8 |
| buy_1 |     79 |           2.43 |         191.96 |          2801.508 |         280.15 |        4:23:00 |    54     0    25  68.4 |
| TOTAL |    701 |           1.23 |         861.07 |         10631.661 |        1063.17 |        4:48:00 |   401     0   300  57.2 |
======================================================= EXIT REASON STATS ========================================================
|        Exit Reason |   Exits |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|--------------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
| trailing_stop_loss |     389 |    389     0     0   100 |           6.61 |        2573.02 |          46877.3  |         857.67 |
|             sell_2 |     185 |      8     0   177   4.3 |          -4.62 |        -853.95 |         -16603.9  |        -284.65 |
|             sell_3 |      65 |      0     0    65     0 |          -8.39 |        -545.56 |         -11958.8  |        -181.85 |
|             sell_4 |      59 |      3     0    56   5.1 |          -4.56 |        -269.19 |          -5612.28 |         -89.73 |
|         force_exit |       3 |      1     0     2  33.3 |         -14.42 |         -43.25 |          -2070.64 |         -14.42 |
======================================================= LEFT OPEN TRADES REPORT =======================================================
|     Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|----------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| EOS/USDT |      1 |           2.57 |           2.57 |           105.812 |          10.58 |        0:45:00 |     1     0     0   100 |
| ZIL/USDT |      1 |          -1.39 |          -1.39 |           -65.378 |          -6.54 |        4:05:00 |     0     0     1     0 |
| KNC/USDT |      1 |         -44.42 |         -44.42 |         -2111.075 |        -211.11 |        8:40:00 |     0     0     1     0 |
|    TOTAL |      3 |         -14.42 |         -43.25 |         -2070.642 |        -207.06 |        4:30:00 |     1     0     2  33.3 |
================ SUMMARY METRICS ================
| Metric                 | Value                |
|------------------------+----------------------|
| Backtesting from       | 2022-01-07 00:00:00  |
| Backtesting to         | 2022-04-21 18:55:00  |
| Max open trades        | 3                    |
|                        |                      |
| Total/Daily Avg Trades | 701 / 6.74           |
| Starting balance       | 1000 USDT            |
| Final balance          | 11631.661 USDT       |
| Absolute profit        | 10631.661 USDT       |
| Total profit %         | 1063.17%             |
| Trades per day         | 6.74                 |
| Avg. daily profit %    | 10.22%               |
| Avg. stake amount      | 1940.841 USDT        |
| Total trade volume     | 1360529.433 USDT     |
|                        |                      |
| Long / Short           | 0 / 701              |
| Total profit Long %    | 0.00%                |
| Total profit Short %   | 1063.17%             |
| Absolute profit Long   | 0 USDT               |
| Absolute profit Short  | 10631.661 USDT       |
|                        |                      |
| Best Pair              | 1000SHIB/USDT 79.87% |
| Worst Pair             | EOS/USDT -36.96%     |
| Best trade             | LUNA/USDT 25.56%     |
| Worst trade            | KNC/USDT -44.42%     |
| Best day               | 2675.739 USDT        |
| Worst day              | -4077.107 USDT       |
| Days win/draw/lose     | 55 / 3 / 47          |
| Avg. Duration Winners  | 3:53:00              |
| Avg. Duration Loser    | 6:02:00              |
| Rejected Entry signals | 866893               |
| Entry/Exit Timeouts    | 0 / 0                |
|                        |                      |
| Min balance            | 1031.882 USDT        |
| Max balance            | 16317.142 USDT       |
| Drawdown (Account)     | 29.36%               |
| Drawdown               | 4791.293 USDT        |
| Drawdown high          | 15317.142 USDT       |
| Drawdown low           | 10525.849 USDT       |
| Drawdown Start         | 2022-04-18 04:20:00  |
| Drawdown End           | 2022-04-21 18:50:00  |
| Market change          | -18.87%              |
=================================================                                                                                                       
