
Result for strategy BBMod
============================================================ BACKTESTING REPORT ============================================================
|          Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
| trailing_stop_loss |    1814 |   1190     0   624  65.6 |          -1.45 |       -2632.78 |        -37673.9   |        -877.59 |
|                roi |    1688 |   1096   476   116  64.9 |           2.81 |        4742.89 |         59890     |        1580.96 |
|         force_exit |       2 |      0     0     2     0 |          -5.88 |         -11.76 |          -814.379 |          -3.92 |
======================================================== LEFT OPEN TRADES REPORT ========================================================
|       Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| AUDIO/USDT |      1 |          -3.05 |          -3.05 |          -218.834 |        -364.72 |        0:55:00 |     0     0     1     0 |
|  AVAX/USDT |      1 |          -8.71 |          -8.71 |          -595.546 |        -992.58 |        8:40:00 |     0     0     1     0 |
|      TOTAL |      2 |          -5.88 |         -11.76 |          -814.379 |       -1357.30 |        4:48:00 |     0     0     2     0 |
================== SUMMARY METRICS ==================
| Metric                      | Value               |
|-----------------------------+---------------------|
| Backtesting from            | 2022-01-05 00:00:00 |
| Backtesting to              | 2022-07-17 17:20:00 |
| Max open trades             | 3                   |
|                             |                     |
| Total/Daily Avg Trades      | 3504 / 18.16        |
| Starting balance            | 60 USDT             |
| Final balance               | 21461.699 USDT      |
| Absolute profit             | 21401.699 USDT      |
| Total profit %              | 35669.50%           |
| CAGR %                      | 6748012.95%         |
| Profit factor               | 1.21                |
| Trades per day              | 18.16               |
| Avg. daily profit %         | 184.82%             |
| Avg. stake amount           | 1303.228 USDT       |
| Total trade volume          | 4566509.632 USDT    |
|                             |                     |
| Best Pair                   | PEOPLE/USDT 218.35% |
| Worst Pair                  | STMX/USDT -73.75%   |
| Best trade                  | SNX/USDT 10.27%     |
| Worst trade                 | ZEC/USDT -11.57%    |
| Best day                    | 3667.91 USDT        |
| Worst day                   | -3043.779 USDT      |
| Days win/draw/lose          | 124 / 0 / 70        |
| Avg. Duration Winners       | 0:47:00             |
| Avg. Duration Loser         | 2:25:00             |
| Rejected Entry signals      | 1101610             |
| Entry/Exit Timeouts         | 0 / 0               |
|                             |                     |
| Min balance                 | 46.385 USDT         |
| Max balance                 | 22276.079 USDT      |
| Max % of account underwater | 42.91%              |
| Absolute Drawdown (Account) | 32.90%              |
| Absolute Drawdown           | 5589.424 USDT       |
| Drawdown high               | 16926.914 USDT      |
| Drawdown low                | 11337.49 USDT       |
| Drawdown Start              | 2022-06-25 09:40:00 |
| Drawdown End                | 2022-07-02 04:40:00 |
| Market change               | -67.24%             |
=====================================================
